23.236.77.117 - - [23/Dec/2019:11:31:31 +0800] "CONNECT mbp.yimg.com:443 HTTP/1.1" 400 -
23.236.77.117 - - [23/Dec/2019:11:31:31 +0800] "CONNECT js.foundation:443 HTTP/1.1" 400 -
23.236.77.117 - - [23/Dec/2019:11:31:32 +0800] "CONNECT js.foundation:443 HTTP/1.1" 400 -
23.236.77.117 - - [23/Dec/2019:11:31:32 +0800] "CONNECT js.foundation:443 HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:11:41:23 +0800] "GET /login_demo/new_page.jsp HTTP/1.1" 200 48924
0:0:0:0:0:0:0:1 - - [23/Dec/2019:11:41:24 +0800] "GET /login_demo/login.jsp HTTP/1.1" 200 19215
0:0:0:0:0:0:0:1 - - [23/Dec/2019:11:41:52 +0800] "POST /login_demo/UserInfoServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:11:41:52 +0800] "GET /login_demo/login.jsp HTTP/1.1" 200 19215
0:0:0:0:0:0:0:1 - - [23/Dec/2019:11:41:59 +0800] "POST /login_demo/UserInfoServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:11:41:59 +0800] "GET /login_demo/new_page.jsp HTTP/1.1" 200 48924
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/index.html HTTP/1.1" 200 48761
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/images/xs/avatar1.jpg HTTP/1.1" 200 2850
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/images/xs/avatar2.jpg HTTP/1.1" 200 2474
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/bundles/libscripts.bundle.js HTTP/1.1" 200 133270
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/bundles/morphingsearchscripts.bundle.js HTTP/1.1" 200 613
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/bundles/vendorscripts.bundle.js HTTP/1.1" 200 10578
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/plugins/jquery-sparkline/jquery.sparkline.min.js HTTP/1.1" 200 63042
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/plugins/chartjs/Chart.bundle.min.js HTTP/1.1" 200 188455
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/bundles/mainscripts.bundle.js HTTP/1.1" 200 8095
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/bundles/morphingscripts.bundle.js HTTP/1.1" 200 892
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/js/pages/index.js HTTP/1.1" 200 3989
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/js/pages/charts/sparkline.min.js HTTP/1.1" 200 3501
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/images/xs/avatar3.jpg HTTP/1.1" 200 2863
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/images/xs/avatar4.jpg HTTP/1.1" 200 3089
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/images/xs/avatar5.jpg HTTP/1.1" 200 2709
